benchmark;elements;data size;avg time;MB/sec
pyin;1;8;1.16648674011e-05;0.685820054777
pyin;2;16;1.14710330963e-05;1.3948177
pyin;4;32;1.14779472351e-05;2.78795496656
pyin;8;64;1.38268470764e-05;4.62867634583
pyin;16;128;1.35109424591e-05;9.47380246696
pyin;32;256;1.41868591309e-05;18.0448679753
pyin;64;512;1.21929645538e-05;41.9914285603
pyin;128;1024;1.37810707092e-05;74.3048215633
pyin;256;2048;1.23708248138e-05;165.550804479
pyin;512;4096;1.46300792694e-05;279.971141959
pyin;1024;8192;1.49300098419e-05;548.693543188
pyin;2048;16384;1.85108184814e-05;885.104028027
pyin;4096;32768;2.05380916595e-05;1595.47442592
pyin;8192;65536;2.94909477234e-05;2222.24123194
pyin;16384;131072;4.8828125e-05;2684.35456
pyin;32768;262144;9.03391838074e-05;2901.77516502
pyin;65536;524288;0.000156841278076;3342.79346886
pyin;131072;1048576;0.000363516807556;2884.53237431
pyin;262144;2097152;0.000592398643494;3540.10263702
pyin;524288;4194304;0.00119109153748;3521.39518084
pyin;1048576;8388608;0.00146110057831;5741.2940112
pyin;2097152;16777216;0.00264399051666;6345.4145899
pyin;4194304;33554432;0.00528330802917;6351.02701086
pyin;8388608;67108864;0.0297488927841;2255.84409097
pyin;16777216;134217728;0.029777097702;4507.41470318
pyin;33554432;268435456;0.0498826980591;5381.33393831
pyin;67108864;536870912;0.110151481628;4873.93273393
pyin;134217728;1073741824;0.210525393486;5100.2960081
pyin;268435456;2147483648;0.393244600296;5460.93613589
